city,latitude,longitude
Ciudad de México,19.42847,-99.12766
Guadalajara,20.66682,-103.39182
Tijuana,32.5027,-117.00371
Monterrey,25.67507,-100.31847
Mérida,20.97537,-89.61696
Cancún,21.17429,-86.84656
Acapulco,16.84942,-99.90891
Villa Hermosa,17.976122, -92.925110
San Luis,22.14982,-100.97916
Morelia,19.70078,-101.18443
Chihuahua,28.63528,-106.08889
San Jose del cabo,23.05888,-109.69771
Culiacan,24.79032,-107.38782
La paz,24.14437,-110.3005
Huatulco,15.83267,-96.32063
Tuxtla,16.75973,-93.11308
Tampico,22.28519,-97.87777
Chetumal,18.51413,-88.30381
Hermosillo,29.1026,-110.97732
Boca del Rio,19.10464,-96.10405
